book_key,question_type,page,text,answer,author_name,book_title,source_name
dragon-hoops,content,6,How long did it take Mr. Yang to write his first graphic novel?,6 years,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,7,What are two nicknames Mr. Yang's student Erin gives Mr. Yang?,"Mr. Yangular, Mr. Yangers",Gene Luen Yang,Dragon Hoops,OBOB.dog Community
dragon-hoops,content,9,What is the name of the O'Dowd high school men's basketball team coach?,Lou,Gene Luen Yang,Dragon Hoops,OBOB.dog Community
dragon-hoops,content,12,"When Mr. Yang goes to talk to Coach Lou about his next book, what hand greeting do they settle on?","handshake, shake",Gene Luen Yang,Dragon Hoops,OBOB.dog Community
dragon-hoops,content,13,How long does Mr. Yang and Coach Lou's first conversation last?,about an hour,Gene Luen Yang,Dragon Hoops,OBOB.dog Community
dragon-hoops,content,17,"What is Coach Lou's full name? (First, middle, last)",Llewellyn Blackmon Richie,Gene Luen Yang,Dragon Hoops,OBOB.dog Community
dragon-hoops,content,40,Why did the Dragons lose the championship game that Lou played in?,A bucket play (Offensive Goaltending) (a hand was near the ball entering the hoop),Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,44,What kind of injury ended Lou's basketball career?,Hamstring,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,44,What kind of degree did Lou graduate college with?,A degree in history,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,46,When Lou began coacing the Dragons who was he an assistant coach to?,Coach Phelps or Mike Phelps or his high school basketball coach,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,46,What year was Lou promoted to be the head coach for the Dragons?,2012,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,53,What does Yang decide to write his second graphic novel about?,Baketball,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,59,What did Naismith use for his first baskets when teaching his first game of basketball?,Peach baskets,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,60,Who invented basketball?,James Naismith,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,66,Two part Question: Mr. Yang is introduced to two of Lou's best players on the team? What are their names?,Ivan and Paris,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,66,What position does Paris play?,Point Guard,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,70,Who is sponsoring Lou's basketball team?,Nike,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,77,How many championships games has the dragons been to and lost?,Eight,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,84,How does Lou decide to build his team this year so he can win the championship?,He builds it with eight seiniors instead of five,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,114,Which basketball league was a white's only league?,BAA,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,115,During which season did the NBA sign the first four black basketball players?,1946-47 season,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,127,Which African American signed the first NBA contract?,Nat Swiftwarter Clifton,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,127,Which player s the only NBA player to score 100 points in a single game?,Wilt Chamberlain,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,127,Which player is a five time NBA champion?,"Earvin ""Magic"" Johnson",Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,128,Which year did Mike Phelps take over the Bishop O'Dowd Varsity basketball team?,1979,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,129,What subject does Mike Phelps teach?,Math,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,223,Which team do the dragons play in the ESPN High School Showcase?,Montverde or the Eagles,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,236,What does DC comics want Gene to write?,Superman,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,242,What did Mikan quit to join Chicago's Depaul University to play on the basketball team?,the seminary,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,252,Which religion has a affinity or liking for basketball?,Catholic,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,253,What does Jeevin wear whenever he's off coart?,a Kara,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,258,Which player always hugs his mom after a game?,Jeevin,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,297,What year did the Chinese government found the Chinese Basketball Association?,1995,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,298,Who was the first Chinese player to play in the NBA?,Yao Ming,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,315,In which state is there a rule that high school transfer students are ineligible to play varsity for a year after they transfer?,California,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,325,Which character was named a MacDonald's All-American?,Ivan Rabb,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,,Which first organization was basketball popular to play at?,YMCA,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,content,,Two part question: Name three basketball players on the Bishop O'Dowd team?,"Isiah Thomas, Jeevin Sandhu, Mike hauser, Weston Bell, Ivan Rabb, Paris Austin",Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,1,Are chapters titled after character's names?,,Gene Luen Yang,Dragon Hoops,OBOB.dog Community
dragon-hoops,in-which-book,3,"is a characters nickname ""Stick"" in Juniot High?",,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,3,does a character claim they always get hurt or jam their fingers when playing a certain game?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,3,"Does a junior high student get a nickname for being ""really, really skinny""?",,Gene Luen Yang,Dragon Hoops,OBOB.dog Community
dragon-hoops,in-which-book,4,In which book...does a character start drawing and writing graphic novels after graduating college?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,5,does a character teach high school at Bishop O'Dowd High School in Oaklanld California?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,10,is there a road running down the middle of a campus separating the classrooms from the gym?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,17,"Was a character nicknamed ""Sue Ellen""?",,Gene Luen Yang,Dragon Hoops,OBOB.dog Community
dragon-hoops,in-which-book,19,is Mars Blackmon a character from the air Jordan commercials?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,25,does a character wear black Air Jordan shoes instead of white converse shoes like everyone else?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,28,does a characters mom make their child go to private school instead of public school like they wanted?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,88,do protests erupt in cities all over the nation proclaiming black lives matter and to end police brutality?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,126,In which book...does a character insist on finishing the game even though they had a fractured vertebrae?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,204,is school canceled for the rest of the week due to a storm?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,212,does a team travel to Orlando to play even though there is a huge storm?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,218,do players play in the ESPN High School Showcase?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,249,in which book does Shaquille O'Neal pay for a funeral?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,,are rituals practiced before playing?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,44,is a character's career ended due to a hamstring injury?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,55,did men not want to do calisthenics in the 1800's?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,88,is a African American shot by a white police officer in Ferguson Missouri?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
dragon-hoops,in-which-book,269,is a character seen in a wheelchair by the gym entance?,,Gene Luen Yang,Dragon Hoops,OBOB Parent Group
